id,latitude,longitude
30262,5.05923810,-75.48947710
31015,5.05079720,-75.49271640
31088,5.04589650,-75.48141590
31149,5.07073840,-75.50800460
35536,5.04588970,-75.48133850
35777,5.07046940,-75.49271640
35835,5.05079720,-75.49271640
35838,5.05079720,-75.49271640
35875,5.05079720,-75.49271640
35919,5.07073840,-75.50800460
35978,5.07046940,-75.49271640
36029,5.05079720,-75.49271640
36049,5.05079720,-75.49271640
36050,5.05079720,-75.49271640
36060,5.05079720,-75.49271640
36095,5.07073840,-75.50800460
36110,5.07073840,-75.50800460
36132,5.07046940,-75.49271640
36173,5.07046940,-75.49271640
36212,5.05079400,-75.49344440
36252,5.05267010,-75.49344450
36285,5.07046940,-75.49271640
36372,5.07073840,-75.50800460
36403,5.07073840,-75.50800460
36419,5.07073840,-75.50800460
36432,5.07073840,-75.50800460
36459,5.07073840,-75.50800460
36490,5.05937920,-75.49419520
36497,5.05937920,-75.49419520
36504,5.07073840,-75.50800460
36514,5.05937920,-75.49419520
36522,5.05937920,-75.49419520
36532,5.05937920,-75.49419520
36542,5.05937920,-75.49419520
36528,5.05610240,-75.49419520
36534,5.05937920,-75.49419520
36535,5.05937920,-75.49419520
36561,5.05937920,-75.49747200
36539,5.05937920,-75.49419520
36543,5.05937920,-75.49419520
36544,5.05937920,-75.49419520
36545,5.05937920,-75.49419520
36546,5.05937920,-75.49419520
36559,5.05937920,-75.49419520
36549,5.05937920,-75.49419520
36553,5.05937920,-75.49419520
36555,5.05937920,-75.49419520
36562,5.05937920,-75.49747200
36565,5.05937920,-75.49747200
36568,5.05937920,-75.49747200
36569,5.05937920,-75.49747200
36583,5.05937920,-75.49747200
36589,5.05937920,-75.49747200
36597,5.05610240,-75.49419520
36599,5.05610240,-75.49419520
36601,5.05610240,-75.49419520
36605,5.05610240,-75.49419520
36603,5.05610240,-75.49419520
36607,5.05610240,-75.49419520
36604,5.05610240,-75.49419520
36608,5.05610240,-75.49419520
36606,5.05610240,-75.49419520
36619,5.05610240,-75.49419520
36620,5.05610240,-75.49419520
36636,5.05610240,-75.49091840
36673,5.06920960,-75.51057920
36713,5.06820200,-75.50072470
36739,5.05282560,-75.49091840
36768,5.05282560,-75.49091840
36897,5.07046940,-75.49271640
36900,5.07046940,-75.49271640
36905,5.07046940,-75.49271640
36909,5.07046940,-75.49271640
36917,5.07046940,-75.49271640
36921,5.07046940,-75.49271640
36931,5.07046940,-75.49271640
36940,5.07046940,-75.49271640
36942,5.07046940,-75.49271640
36947,5.07046940,-75.49271640
36990,5.05079720,-75.49271640
37005,5.05079720,-75.49271640
37006,5.05079720,-75.49271640
37016,5.05079720,-75.49271640
37033,5.05079720,-75.49271640
37046,5.05079720,-75.49271640
37083,5.07073840,-75.50800460
37149,5.05937920,-75.49747200
37169,5.05937920,-75.49747200
37207,5.07248640,-75.51713280
37212,5.07248640,-75.51713280
37215,5.07248640,-75.51713280
37213,5.07248640,-75.51713280
37220,5.07248640,-75.51713280
37216,5.07248640,-75.51713280
37228,5.07248640,-75.51713280
37232,5.07248640,-75.51713280
37251,5.07248640,-75.51713280
37271,5.07248640,-75.51713280
37278,5.07248640,-75.51713280
37295,5.07248640,-75.51713280
37309,5.07248640,-75.51713280
37346,5.07248640,-75.51713280
37351,5.07248640,-75.51713280
37349,5.07248640,-75.51713280
37350,5.07248640,-75.51713280
37353,5.07248640,-75.51713280
37359,5.07248640,-75.51713280
37384,5.07248640,-75.51713280
37395,5.07248640,-75.51713280
37401,5.07248640,-75.51713280
37446,5.07248640,-75.51713280
37479,5.07248640,-75.51713280
37489,5.07248640,-75.51713280
37495,5.07248640,-75.51713280
37555,5.07248640,-75.51713280
37564,5.07248640,-75.51713280
37580,5.07248640,-75.51713280
37608,5.07248640,-75.51713280
37611,5.07248640,-75.51713280
37669,5.06593280,-75.51057920
37670,5.06593280,-75.51057920
37753,5.07248640,-75.51713280
37785,5.06920960,-75.51385600
37796,5.06920960,-75.51385600
37811,5.06920960,-75.51385600
37822,5.07248640,-75.51713280
37836,5.07248640,-75.51713280
37840,5.07248640,-75.51713280
37857,5.07248640,-75.51713280
37882,5.07248640,-75.51713280
37962,5.07248640,-75.51713280
37961,5.07248640,-75.51713280
37995,5.07248640,-75.51713280
38024,5.06920960,-75.51385600
38079,5.04954880,-75.48108800
38105,5.07248640,-75.51713280
38176,5.07248640,-75.51713280
38198,5.07248640,-75.51713280
38253,5.07248640,-75.51713280
38307,5.07248640,-75.51713280
38308,5.07248640,-75.51713280
38310,5.07248640,-75.51713280
38343,5.04610490,-75.50873260
39380,5.05479050,-75.48701130
39371,5.05922760,-75.48946570
39370,5.05921390,-75.48944950
38407,5.07248640,-75.51713280
38427,5.07248640,-75.51713280
38441,5.07248640,-75.51713280
38447,5.07248640,-75.51713280
38450,5.07248640,-75.51713280
38456,5.07248640,-75.51713280
38466,5.07248640,-75.51713280
38469,5.07248640,-75.51713280
38483,5.07248640,-75.51713280
38488,5.07248640,-75.51713280
38506,5.07248640,-75.51713280
38513,5.07248640,-75.51713280
38512,5.07248640,-75.51713280
38508,5.07248640,-75.51713280
38510,5.07248640,-75.51713280
38511,5.07248640,-75.51713280
38514,5.07248640,-75.51713280
38515,5.07248640,-75.51713280
38521,5.07248640,-75.51713280
38542,5.07248640,-75.51713280
38554,5.07248640,-75.51713280
38561,5.07248640,-75.51713280
38557,5.07248640,-75.51713280
38559,5.07248640,-75.51713280
38562,5.07248640,-75.51713280
38564,5.07248640,-75.51713280
38573,5.07248640,-75.51713280
38565,5.07248640,-75.51713280
38566,5.07248640,-75.51713280
38567,5.07248640,-75.51713280
38568,5.07248640,-75.51713280
38570,5.07248640,-75.51713280
38571,5.07248640,-75.51713280
38572,5.07248640,-75.51713280
38574,5.07248640,-75.51713280
38575,5.07248640,-75.51713280
38578,5.07248640,-75.51713280
38576,5.07248640,-75.51713280
38577,5.07248640,-75.51713280
38580,5.07248640,-75.51713280
38582,5.07248640,-75.51713280
38581,5.07248640,-75.51713280
38585,5.07248640,-75.51713280
38584,5.06920960,-75.51385600
38614,5.07248640,-75.51713280
38587,5.07248640,-75.51713280
38588,5.07248640,-75.51713280
38589,5.07248640,-75.51713280
38590,5.07248640,-75.51713280
38591,5.07248640,-75.51713280
38592,5.07248640,-75.51713280
38596,5.07248640,-75.51713280
38611,5.07248640,-75.51713280
38599,5.07248640,-75.51713280
38600,5.07248640,-75.51713280
38601,5.07248640,-75.51713280
