id,latitude,longitude,barrio,localidad,ciudad
30262,5.0592381,-75.4894771,La Estrella,Comuna Palogrande,Perímetro Urbano Manizales
31015,5.0507972,-75.4927164,Sancancio,Comuna Palogrande,Perímetro Urbano Manizales
31088,5.0458965,-75.4814159,Milán,Comuna Palogrande,Perímetro Urbano Manizales
31149,5.0707384,-75.5080046,Sierra Morena,Comuna San José,Perímetro Urbano Manizales
35536,5.0458897,-75.4813385,Milán,Comuna Palogrande,Perímetro Urbano Manizales
35777,5.0704694,-75.4927164,Villahermosa,Comuna Nuevo Horizonte,Perímetro Urbano Manizales
35835,5.0507972,-75.4927164,Sancancio,Comuna Palogrande,Perímetro Urbano Manizales
35838,5.0507972,-75.4927164,Sancancio,Comuna Palogrande,Perímetro Urbano Manizales
35875,5.0507972,-75.4927164,Sancancio,Comuna Palogrande,Perímetro Urbano Manizales
35919,5.0707384,-75.5080046,Sierra Morena,Comuna San José,Perímetro Urbano Manizales
35978,5.0704694,-75.4927164,Villahermosa,Comuna Nuevo Horizonte,Perímetro Urbano Manizales
36029,5.0507972,-75.4927164,Sancancio,Comuna Palogrande,Perímetro Urbano Manizales
36049,5.0507972,-75.4927164,Sancancio,Comuna Palogrande,Perímetro Urbano Manizales
36050,5.0507972,-75.4927164,Sancancio,Comuna Palogrande,Perímetro Urbano Manizales
36060,5.0507972,-75.4927164,Sancancio,Comuna Palogrande,Perímetro Urbano Manizales
36095,5.0707384,-75.5080046,Sierra Morena,Comuna San José,Perímetro Urbano Manizales
36110,5.0707384,-75.5080046,Sierra Morena,Comuna San José,Perímetro Urbano Manizales
36132,5.0704694,-75.4927164,Villahermosa,Comuna Nuevo Horizonte,Perímetro Urbano Manizales
36173,5.0704694,-75.4927164,Villahermosa,Comuna Nuevo Horizonte,Perímetro Urbano Manizales
36212,5.050794,-75.4934444,Sancancio,Comuna Palogrande,Perímetro Urbano Manizales
36252,5.0526701,-75.4934445,Fátima,Comuna Universitaria,Perímetro Urbano Manizales
36285,5.0704694,-75.4927164,Villahermosa,Comuna Nuevo Horizonte,Perímetro Urbano Manizales
36372,5.0707384,-75.5080046,Sierra Morena,Comuna San José,Perímetro Urbano Manizales
36403,5.0707384,-75.5080046,Sierra Morena,Comuna San José,Perímetro Urbano Manizales
36419,5.0707384,-75.5080046,Sierra Morena,Comuna San José,Perímetro Urbano Manizales
36432,5.0707384,-75.5080046,Sierra Morena,Comuna San José,Perímetro Urbano Manizales
36459,5.0707384,-75.5080046,Sierra Morena,Comuna San José,Perímetro Urbano Manizales
36490,5.0593792,-75.4941952,Belén,Comuna Palogrande,Perímetro Urbano Manizales
36497,5.0593792,-75.4941952,Belén,Comuna Palogrande,Perímetro Urbano Manizales
36504,5.0707384,-75.5080046,Sierra Morena,Comuna San José,Perímetro Urbano Manizales
36514,5.0593792,-75.4941952,Belén,Comuna Palogrande,Perímetro Urbano Manizales
36522,5.0593792,-75.4941952,Belén,Comuna Palogrande,Perímetro Urbano Manizales
36532,5.0593792,-75.4941952,Belén,Comuna Palogrande,Perímetro Urbano Manizales
36542,5.0593792,-75.4941952,Belén,Comuna Palogrande,Perímetro Urbano Manizales
36528,5.0561024,-75.4941952,Palogrande,Comuna Universitaria,Perímetro Urbano Manizales
36534,5.0593792,-75.4941952,Belén,Comuna Palogrande,Perímetro Urbano Manizales
